0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:07:56 +0900] "GET /kokotown/StartAction.action HTTP/1.1" 200 3367
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:07:56 +0900] "GET /kokotown/img/input4.gif HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:07:58 +0900] "GET /kokotown/LoginMoveAction.action HTTP/1.1" 200 860
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:08:00 +0900] "GET /kokotown/CartMoveAction.action HTTP/1.1" 200 2671
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:08:09 +0900] "POST /kokotown/CartMoveAction.action HTTP/1.1" 200 2671
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:08:09 +0900] "GET /kokotown/css/cart.css HTTP/1.1" 200 650
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:08:09 +0900] "GET /kokotown/css/navivi.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:08:09 +0900] "GET /kokotown/img/kokotown.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:08:09 +0900] "GET /kokotown/img/bookBlue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:08:09 +0900] "GET /kokotown/img/home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:08:15 +0900] "GET /kokotown/css/productDeatailInfo.css HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:08:16 +0900] "POST /kokotown/CartMoveAction.action HTTP/1.1" 200 3214
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:08:16 +0900] "GET /kokotown/css/cart.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:08:40 +0900] "POST /kokotown/CartMoveAction.action HTTP/1.1" 200 3757
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:08:40 +0900] "GET /kokotown/css/cart.css HTTP/1.1" 200 654
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:08:40 +0900] "GET /kokotown/css/navivi.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:08:40 +0900] "GET /kokotown/img/kokotown.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:08:40 +0900] "GET /kokotown/img/bookBlue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:08:40 +0900] "GET /kokotown/img/home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:09:12 +0900] "POST /kokotown/CartMoveAction.action HTTP/1.1" 200 4300
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:09:12 +0900] "GET /kokotown/css/cart.css HTTP/1.1" 200 684
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:09:12 +0900] "GET /kokotown/css/navivi.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:09:12 +0900] "GET /kokotown/img/kokotown.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:09:12 +0900] "GET /kokotown/img/bookBlue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:09:12 +0900] "GET /kokotown/img/home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:09:42 +0900] "POST /kokotown/CartMoveAction.action HTTP/1.1" 200 4843
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:09:42 +0900] "GET /kokotown/css/cart.css HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:09:42 +0900] "GET /kokotown/css/navivi.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:09:42 +0900] "GET /kokotown/img/kokotown.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:09:42 +0900] "GET /kokotown/img/bookBlue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:09:42 +0900] "GET /kokotown/img/home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:10:17 +0900] "POST /kokotown/CartMoveAction.action HTTP/1.1" 200 5386
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:10:17 +0900] "GET /kokotown/css/cart.css HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:10:17 +0900] "GET /kokotown/css/navivi.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:10:17 +0900] "GET /kokotown/img/kokotown.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:10:17 +0900] "GET /kokotown/img/bookBlue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:10:17 +0900] "GET /kokotown/img/home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:10:29 +0900] "POST /kokotown/CartMoveAction.action HTTP/1.1" 200 3757
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:10:29 +0900] "GET /kokotown/css/cart.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:10:50 +0900] "POST /kokotown/CartMoveAction.action HTTP/1.1" 200 3757
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:10:50 +0900] "GET /kokotown/css/cart.css HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:10:50 +0900] "GET /kokotown/css/navivi.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:10:50 +0900] "GET /kokotown/img/kokotown.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:10:50 +0900] "GET /kokotown/img/home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:10:50 +0900] "GET /kokotown/img/bookBlue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:11:22 +0900] "POST /kokotown/CartMoveAction.action HTTP/1.1" 200 3757
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:11:22 +0900] "GET /kokotown/css/cart.css HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:11:22 +0900] "GET /kokotown/css/navivi.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:11:22 +0900] "GET /kokotown/img/kokotown.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:11:22 +0900] "GET /kokotown/img/home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:11:22 +0900] "GET /kokotown/img/bookBlue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:11:49 +0900] "POST /kokotown/CartMoveAction.action HTTP/1.1" 200 3757
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:11:49 +0900] "GET /kokotown/css/cart.css HTTP/1.1" 200 689
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:11:49 +0900] "GET /kokotown/css/navivi.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2018:10:11:49 +0900] "GET /kokotown/img/kokotown.png HTTP/1.1" 304 -
